text,clean
Mmmmm...donuts,TRUE
My name's Bond. James Bond,TRUE
Never answer an anonymous letter,TRUE
"Never be bored, and you will never be boring",TRUE
Nobody puts Baby in a corner,TRUE
Not to know is bad; not to want to know is worse,TRUE
Nothing hard is ever easy,TRUE
Now the future,TRUE
Ob-la-di ob-la-da life goes on bra,TRUE
"Oh, my, God, Becky. Look at her butt",FALSE
"Oh, And Remember, Next Friday Is Hawaiian Shirt Day!",TRUE
"Oh, the thinks you can think!",TRUE
Old cows easily forget they were once calves,TRUE
Ommmmmmmm...,TRUE
One cannot lean on emptiness,TRUE
One leg cannot dance alone,TRUE
Only you can control your future,TRUE
"Ooga-chaka, Ooga-ooga, Ooga-chaka",TRUE
Open your umbrella before you get wet,TRUE
Order a drink,TRUE
Piece of cake,TRUE
Please excuse me while I kiss the sky,TRUE
Pour a little sugar on me,TRUE
Put your feet up,TRUE
Relax and enjoy the laughs,TRUE
Relax your shoulders,TRUE
Relax. Make yourself at home,TRUE
"Remember, nobody's perfect",TRUE
Russian dolls are so full of themselves,TRUE
Russian roulette is not the same without a gun,FALSE
Salt and sugar look the same,TRUE
Saying qqqI'm sorryqqq is life's best cheat code,TRUE
Seize the day. Make your lives extraordinary,TRUE
"Shaken, not stirred",TRUE
She acts like summer and walks like rain,TRUE
Should I stay or should I go?!,TRUE
Show me the money!,TRUE
Simple is best,TRUE
Smell that?!,TRUE
Spill the beans,TRUE
Stop! Hammer time!,TRUE
Streeetttccchhh,TRUE
Surely you can't be serious,TRUE
Sweet dreams are made of these. Who am I to disagree?!,TRUE
Take a breather,TRUE
"Take a chill pill, Bill",TRUE
Take a load off,TRUE
Take a pew,TRUE
Take a sippa ya drinka,FALSE
"Take it easy, Weezy",TRUE
Take my hand and we'll make it - I swear,TRUE
That rug really ties the room together,TRUE
The answer my friends is blowing in the wind,TRUE
The best words give no food,TRUE
The branches of a tree reveal its roots,TRUE
The dining table kills more people than wars,TRUE
The future ain't what it used to be,TRUE
The habit does not make the monk,TRUE
The hand that gives is the hand that gets,TRUE
"The older the fiddle, the sweeter the tune",TRUE
The person who forgives wins the dispute,TRUE
The rotation of Earth really makes my day,TRUE
The stillness is the move,TRUE
The world is a vampire,TRUE
There is plenty of sound in an empty barrel,TRUE
There must be some kinda way out of here,TRUE
There's no crying in baseball,TRUE
"Think and wonder, wonder and think",TRUE
This is the beginning of a beautiful friendship,TRUE
Time is the fire in which we burn,TRUE
Tis better to know how to learn than to know,TRUE
Toga! Toga!,TRUE
Tomorrow is often the busiest day of the week,TRUE
Viva La Vida,TRUE
Wastin' away again in Margaritaville,TRUE
We're gonna need a bigger boat,TRUE
Well-behaved women rarely make history,TRUE
What if there were no hypothetical questions?!,TRUE
What we've got is a failure to communicate,TRUE
"When a crook kisses you, count your teeth",TRUE
"When life gives you melons, you might be dyslexic",FALSE
"When you come to a fork in the road, take it",TRUE
"Whoa, did somebody step on a duck?",FALSE
Wisdom is one treasure that no robber can touch,TRUE
Won't get fooled again,TRUE
"Wow you're fast!, she said.",FALSE
You are beautiful; no matter what they say,TRUE
You are you more than anyone else,TRUE
You can observe a lot by watching,TRUE
You can't get ivory from a dog's mouth,TRUE
You can't handle the truth!,TRUE
You can't see the whole sky thru a bamboo tube,TRUE
You finished fast. Here is a pony,TRUE
You gotta fight for your right to party,TRUE
You had me at Hello,TRUE
You look good on the dance floor,TRUE
You must crack the nut before you can eat the kernel,TRUE
You talking to me,TRUE
You're fast. Have a cookie,TRUE
You're gorgeous!,TRUE
You're in pretty good shape for the shape you are in,TRUE
Young hearts run free,TRUE
Your friends are the family you pick,TRUE
